Beetle Number,Survival Status,Treatment Status
1,0,Control
2,0,Control
3,1,Control
4,1,Control
5,0,Control
6,0,Control
7,0,Control
8,0,Control
9,0,Control
10,0,Control
11,0,Control
12,0,Control
13,0,Control
14,1,Control
15,0,Control
16,1,Control
17,1,Control
18,0,Control
19,1,0.25mg
20,0,0.25mg
21,1,0.25mg
22,0,0.25mg
23,1,0.25mg
24,0,0.25mg
25,1,0.25mg
26,0,0.25mg
27,0,0.25mg
28,0,0.25mg
29,1,0.25mg
30,0,0.25mg
31,0,0.25mg
32,1,0.25mg
33,0,0.25mg
34,0,0.25mg
35,1,0.25mg
36,0,0.25mg
37,0,1mg
38,0,1mg
39,0,1mg
40,1,1mg
41,1,1mg
42,0,1mg
43,0,1mg
44,1,1mg
45,0,1mg
46,0,1mg
47,0,1mg
48,0,1mg
49,0,1mg
50,0,1mg
51,0,1mg
52,0,1mg
53,1,1mg
54,0,1mg
55,0,4mg
56,1,4mg
57,0,4mg
58,0,4mg
59,0,4mg
60,0,4mg
61,0,4mg
62,1,4mg
63,1,4mg
64,1,4mg
65,1,4mg
66,1,4mg
67,0,4mg
68,0,4mg
69,0,4mg
70,0,4mg
71,1,4mg
72,0,4mg